Service,Service Provider,Tag,Service Category,Domains
Adobe Ads,adobe,adobe-ads,Advertising,"*.2o7.net, *.adobeaemcloud.com, *.adobecce.com, *.adobeconnect.com, *.adobedtm.com, *.adobeprimetime.com, *.adobess.com, *.adobetag.com, *.business.adobe.com, *.demdex.com, *.demdex.net, *.everestads.net, *.everesttech.net, *.marketo.com, *.mktoresp.com, *.mktoutil.com, *.omniture.com, *.omtrdc.net, *.ss-omtrdc.net, *.sstats.adobe.com, *.tmogul.com, *.tubemogul.com"
Adobe Analytics,adobe,adobe-analytics,Analytics & Telemetry,"hbrt.adobe.com, adobe.demdex.net, sstats.adobe.com"
Adobe Authentication Services,adobe,adobe-authentication,Authentication,"*.adobelogin.com, adobeid-na1.services.adobe.com, na1e-acc.services.adobe.com, na1r.services.adobe.com"
Adobe Document Cloud,adobe,adobe-cloud,File sharing,"dc-api.adobe.io, cloud.acrobat.com, *.files.acrobat.com"
Adobe Notifications,adobe,adobe-notifications,Notifications,notify.adobe.io
Adobe Universal Search,adobe,adobe-search,Search,adobesearch.adobe.io
Adobe Updater,adobe,adobe-updater,Software updates,armmf.adobe.com
Alza Banners,alza,alza-bnr,Advertising,bnr.alza.cz
Alza LogAPI,alza,alza-logapi,Analytics & Telemetry,logapi.alza.cz
Alza CDN,alza,alza-cdn,Media,cdn.alza.cz
Alza SignalR,alza,alza-signalr,Other APIs,signalr.alza.cz
Alza WebAPI,alza,alza-webapi,Other APIs,webapi.alza.cz
Amazon Advertising,amazon,amazon-advertising,Advertising,"*.aax-eu.amazon.co.uk, *.aax-eu.amazon.es, *.aax-eu.amazon.in, *.aax-eu.amazon.nl, *.amazon-adsystem.amazon.com, *.amazon-adsystem.com, *.device-metrics-us.amazon.com, *.mads-eu.amazon.com, *.mads.amazon.com, *.rfihub.com, *.rfihub.net, *.serving-sys.com, *.sizmek.com, *.video-ads.a2z.com"
Amazon Prime Video,amazon,amazon-prime,Media,"*.aiv-cdn.net, *.aiv-delivery.net, *.amazonvideo.com, *.atv-ext-eu.amazon.com, *.atv-ext-fe.amazon.com, *.atv-ext.amazon.com, *.atv-ps.amazon.com, *.primevideo.com, *.pv-cdn.net"
